hour,count
0,129550
1,129662
2,131241
3,123750
4,109791
5,91300
6,77741
7,67288
8,58967
9,59408
10,66440
11,101303
12,149094
13,178464
14,193614
15,210756
16,226948
17,225133
18,223457
19,230365
20,217207
21,178247
22,145904
23,130911
